brand_clean,avg_rating,avg_sentiment,recommendation_rate,review_count,positive_sentiment_pct,affinity_score
Pinaud,5.0,0.747,0.0,7,100.0,0.524
Clear Scalp & Hair Therapy,2.817,0.578,45.093,377,48.81,0.523
Colorganics,4.889,0.759,0.0,9,100.0,0.521
Sc Johnson,4.875,0.755,0.0,8,100.0,0.519
Axe,4.254,0.718,11.864,59,93.22,0.518
Lundberg,4.772,0.747,1.408,426,96.48,0.516
Simply Shabby Chic,4.75,0.76,0.0,12,100.0,0.513
Weather Tech,4.833,0.744,0.0,12,100.0,0.513
Better Built,4.917,0.726,0.0,12,100.0,0.513
Obagi,4.9,0.724,0.0,10,100.0,0.511
Reebok,4.8,0.744,0.0,5,100.0,0.511
Sloan Valve Company,5.0,0.7,0.0,1,100.0,0.51
Chesapeake Merch Inc,5.0,0.7,0.0,1,100.0,0.51
Michelin,4.909,0.715,0.0,11,100.0,0.509
Badger,4.8,0.734,0.0,5,100.0,0.508
Metzeler,4.769,0.727,0.0,13,92.31,0.504
Stauffer'S,4.733,0.734,0.0,15,93.33,0.504
Weleda,4.625,0.752,0.0,8,87.5,0.503
Dermalogica,4.733,0.726,0.0,15,93.33,0.502
Kohler,4.75,0.721,0.0,8,100.0,0.501
Queen Helene,3.812,0.655,18.75,16,75.0,0.5
Attitude,3.833,0.664,16.667,6,100.0,0.496
Rubbermaid,2.801,0.527,42.187,1939,45.07,0.495
Baxter Of California,4.625,0.724,0.0,8,100.0,0.495
Lush Decor,4.706,0.71,0.0,17,94.12,0.495
American Crew,4.391,0.694,4.348,23,91.3,0.489
Pirate'S Booty,4.5,0.725,0.0,2,100.0,0.488
Stridex,4.579,0.708,0.0,19,89.47,0.487
Beanitos,4.5,0.715,0.0,4,100.0,0.485
Northwest,4.5,0.714,0.0,8,100.0,0.484
Caldrea,4.5,0.702,0.0,2,100.0,0.481
Teenage Mutant Ninja Turtles,4.4,0.72,0.0,5,80.0,0.48
Soothing Touch,4.5,0.699,0.0,6,83.33,0.48
Maybelline,3.613,0.63,17.655,742,68.87,0.476
Honeybee Gardens,4.333,0.717,0.0,3,100.0,0.475
Karaoke Usa,2.6,0.522,40.0,5,40.0,0.473
Cetaphil,3.537,0.637,16.667,54,68.52,0.47
D-Con,2.571,0.475,42.857,7,42.86,0.468
Swann,3.333,0.429,33.333,3,33.33,0.462
Sally Hansen,3.546,0.615,15.966,119,67.23,0.461
Hugo Naturals,4.273,0.671,0.0,11,90.91,0.458
Trend Lab,4.154,0.688,0.0,13,92.31,0.456
Juice Beauty,4.133,0.69,0.0,60,90.0,0.455
Schwarzkopf,4.1,0.675,0.0,10,80.0,0.448
Plano,4.2,0.65,0.0,5,80.0,0.447
Advantage,4.0,0.691,0.0,3,100.0,0.447
Klondike,3.2,0.576,20.0,5,60.0,0.445
Fan Mats,4.0,0.675,0.0,1,100.0,0.442
Covergirl,3.967,0.65,0.0,30,83.33,0.433
K-Y,2.519,0.447,37.037,27,40.74,0.433
Scotty,4.0,0.627,0.0,1,100.0,0.428
Way Basics,3.818,0.639,0.0,11,72.73,0.421
Ldr,4.0,0.6,0.0,1,100.0,0.42
Rubbermaid Lock-Its,2.429,0.525,28.571,14,28.57,0.418
Oxy,3.833,0.623,0.0,12,58.33,0.417
Home Health,3.75,0.636,0.0,4,50.0,0.416
Keebler,3.647,0.624,0.0,34,67.65,0.406
South Shore,3.5,0.637,0.0,6,83.33,0.401
Cal Lighting,4.0,0.538,0.0,1,100.0,0.401
John Frieda,3.5,0.636,0.0,2,50.0,0.401
Moom,3.6,0.603,0.0,5,80.0,0.397
Lay'S,3.667,0.566,0.0,6,66.67,0.39
Olivella,3.333,0.601,0.0,3,66.67,0.38
Sebastian,3.5,0.55,0.0,2,50.0,0.375
Olly,3.179,0.56,3.571,28,60.71,0.373
Suncoat,3.4,0.558,0.0,5,80.0,0.371
Newman'S Own Organics,3.333,0.541,0.0,6,50.0,0.362
Mario Badescu,3.0,0.544,0.0,5,60.0,0.343
Nourish Organic,3.0,0.48,0.0,3,33.33,0.324
Peak,3.0,0.469,0.0,1,0.0,0.321
Istarusa,3.0,0.451,0.0,1,0.0,0.315
Natralia,3.0,0.437,0.0,1,0.0,0.311
Feit,2.667,0.484,0.0,9,33.33,0.305
Cheez-It,2.0,0.485,0.0,1,0.0,0.265
Pillow Perfect,2.0,0.46,0.0,1,0.0,0.258
Toy Story,2.0,0.402,0.0,4,0.0,0.241
Ecotrin,2.0,0.36,0.0,1,0.0,0.228
Nexxus,1.55,0.28,12.29,773,13.2,0.226
Lucy'S,2.0,0.283,0.0,1,0.0,0.205
Udi'S,1.0,0.386,0.0,1,0.0,0.176
Fit System,1.0,0.336,0.0,1,0.0,0.161
No-Ad,1.0,0.3,0.0,1,0.0,0.15
Gone Fishing,1.0,0.294,0.0,1,0.0,0.148
National Mfg.,1.0,0.228,0.0,1,0.0,0.128
Horizon,1.0,0.212,0.0,1,0.0,0.124
Dremel,1.0,0.162,0.0,1,0.0,0.109
Nordicware,1.0,0.1,0.0,1,0.0,0.09
